id,description,datetime,longitude,latitude,elevation
1,Cesna 120,2016-10-15 15:00:00+00:00,42.3119735000,-83.0941179000,650
2,DC-6 Twin Otter,2016-10-12 15:00:00+00:00,43.4591120000,-80.3866930000,500
2,DC-6 Twin Otter,2016-10-13 15:00:00+00:00,42.4591120000,-79.3866930000,550
2,DC-6 Twin Otter,2016-10-14 15:00:00+00:00,43.4591120000,-85.3866930000,450
2,DC-6 Twin Otter,2016-10-15 15:00:00+00:00,44.4591120000,-81.3866930000,400
3,Piper M600,2016-10-15 15:00:00+00:00,45.4591120000,-82.3866930000,600
3,Piper M600,2016-10-15 15:00:00+00:00,46.4591120000,-83.3866930000,700
3,Piper M600,2016-10-15 15:00:00+00:00,47.4591120000,-84.3866930000,800
3,Piper M600,2016-10-15 15:00:00+00:00,48.4591120000,-85.3866930000,900
4,Art Boom 6500,2017-08-04 17:20:38+00:00,43.7634618000,-79.3688191000,800
4,Art Boom 6500,2017-08-04 19:20:38+00:00,43.8001468000,-79.2342365000,400
4,Art Boom 6500,2017-08-04 17:20:38+00:00,44.5116500000,-80.1239422000,550
4,Art Boom 6500,2017-08-04 17:20:38+00:00,43.1501439000,-79.0504945000,300
